sources,ACH1,ACH2,aci1,ACI1,ACI10,ACI11,aci2,ACI2,ACI3,ACI4,ACI5,ACI6,ACI7,ACI8,ACI9,ADV1,ART1,ART2,ART3,ART4,ART5,ART6,ART7,ART8,ART9,BAC1,BAC2,BAC3,BAC4,BAC5,BAC6,BAC7,BAC8,BOR1,BRE1,BRE2,BUR1,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CUP1,CUP2,CUP3,CUR1,DEL1,DEL2,DYE1,EMP1,EMP2,ENS1,ENT1,ENT2,ENT3,ESC1,FAL1,FIC1,FLA1,FLA2,FLA3,FLA4,FLA5,FLA6,HER1,KLE1,KLE2,KLE3,KOS1,KOS2,LYS1,LYS2,MIC1,MIC2,MIC3,MIC4,OCH1,OCH2,PAE1,PAE2,PAE3,PAE4,PAE5,PAE6,par1,PAR1,PAR2,PRO1,PRO2,PSE1,PSE10,PSE11,PSE12,PSE13,PSE14,PSE15,PSE2,PSE3,PSE4,PSE5,PSE6,PSE7,PSE8,PSE9,RAL1,RAL2,RAL3,RAL4,RAL5,RAO1,RHO1,SIN1,SPH1,SPH2,SPH3,SPH4,STA1,STE1,STE2,STE3,VAR1
2-Oxoglutaric,0.316675,0.3058,0.40195,0.340625,0.322425,0.3381,0.185424998,0.287975,0.3092,0.3172,0.358075,0.316,0.368025,0.36025,0.3596,0.32405,0.143975,0.384875,0.128475,0.22465,0.359875,0.249075,0.277075,0.222925,0.4308,0.03345,0.24525,0.039975,0.1495,0.115925001,0.2012,0,0.066308333,0.313875,0.088099999,0.260525,0.16725,0,0.001175,0.0016,0.0431,0.019925,0.05315,0.08935,0.2961,0.027975,0,0.187075,0.221325,0,0.049275,0,0.28175,0.011675,0.197925,0.151075,0.2502,0.314199999,0.0194,0.0348,0.050974998,0.0084,0.014825,0.1523,0.105249999,0.455225,0.126675,0.129575,0.124425,0.32155,0,0.0057,0.010808333,0,0.02275,0.0364,0,0.17045,0.320875,0.158275,0,0.016775,0.038725,0.022075,0.01365,0.296875,0.2679,0.23685,0,0.195875,0.30805,0.220625,0.311525,0.26925,0.057975005,0.222175,0.088325,0.263225002,0.376625,0.2398,0.168375,0.26405,0.276124998,0.28995,0.326775,0.30975,0.41195,0.30835,0.118725,0.23085,0.078949999,0.10295,0.453599997,0.2168,0.009525002,0.302725,0.252375002,0.00315,0.1342,0.179724999,0.403925,0.042175002
gamma aminobutyric acid,0.345475,0.374825,0.35145,0.409575,0.228125,0.304925,0.032175001,0.3294,0.1973,0.383775,0.315275,0.33945,0.439775,0.432525,0.42315,0.350475,0.156075,0.121725,0.282875,0.1214,0.268025,0.17595,0.276375,0.25025,0.3883,0.0238,0.3247,0.219491667,0.0526,0.029324998,0.2916,0.009075,0.034875,0.09595,0.029875,0.26495,0.372675,0,0,0,0,0.31595,0,0.153325,0.164275,0,0.03235,0,0,0.00265,0.0575,0.005325,0.304075,0,0.229375,0,0.31765,0.018199999,0.0074,0.0641,0.062625,0.016925,0.008175,0.054600002,0.3702,0.42395,0.4677,0.381925,0.371475,0.109299997,0.100975,0.01655,0.031275,0.072525,0.2592,0.1763,0.19435,0.3422,0.244425,0.2779,0.304325,0.288941667,0.105525,0.344675,0,0.404275,0.276,0.34285,0,0.248775,0.32265,0.18325,0.334975001,0.22275,0.037000001,0.219575,0.2768,0.292250002,0.3861,0.22265,0.1431,0.25635,0.312224998,0.29405,0.310675,0.26605,0.073125,0.3545,0.01915,0.212675001,0.408924999,0.15795,0.414249999,0.0908,0,0.3339,0.014549999,0,0.12115,0.084174999,0.382899998,0.002950001
Acetic acid,0.048175,0.0734,0.15415,0.1076,0.092325,0.068225,0.1603,0.096925,0.032975,0.16225,0.09785,0.080775,0.162875,0.1433,0.166175,0.0745,0.029125,0.10025,0.0965,0.0319,0.116325,0.04585,0.026375,0.027675,0.098375,0.00175,0.12005,0.0352,0.0143,0.083225,0.0428,0,0,0.10565,0.057249999,0.055725,0.1385,0.044,0.024875,0.008975,0.01645,0.0761,0.04295,0.17875,0.22245,0,0.000725,0.026275,0.0362,0,0.08175,0,0.1253,0,0.00625,0.0217,0.06825,0,0.03615,0.106175,0.0843,0.053075,0.070825,0.048475001,0.031275001,0.038175,0.121675,0.1548,0.134775,0.18195,0.0129,0.098775,0.121075,0.054,0.036525,0.0661,0,0.114025,0.141575,0.109725,0,0,0.0189,0,0.0726,0.193125,0.147975,0.174025,0.067950001,0.0824,0.115525,0.082025,0.0814,0.0587,0.014275,0.0154,0.2044,0.078299999,0.132425,0.0043,0.064075,0.0425,0.110024999,0.04435,0.11085,0.1362,0.034475,0.326250004,0.055825,0.108974999,0.139875001,0.159125,0.243450001,0,0.081750002,0.0626,0.101999998,0,0.088775,0.124575001,0.173025,0
beta-Alanine,0.188275,0.188,0.191525,0.22835,0.139225,0.16615,0.055475,0.13305,0.13215,0.228675,0.189825,0.161725,0.2405,0.22595,0.2478,0.2046,0,0,0.1598,0.133,0,0.06315,0,0,0,0,0,0,0,0.032874999,0,0,0,0.015625,0.039924999,0.1555,0.295025,0,0,0,0,0.168475,0,0.1262,0.222075,0.016999997,0,0.007525,0.04645,0.00345,0.03385,0,0.193525,0,0.00275,0,0.180475,0,0.007175,0.032125,0.049325001,0.0059,0,0.035149999,0.041875001,0.032525,0,0.0194,0,0.03885,0,0.0019,0.0525,0.012275,0.05445,0.021525,0,0.109,0.108775,0.128,0,0.014025,0,0,0.160025,0.145075,0.1038,0.186,0,0.107375,0.158725,0.059625,0.160450001,0.08915,0,0.099175,0.0622,0.171350001,0.0148,0.080325,0.112675,0.13705,0.170825003,0.1628,0.185325,0.16655,0,0.173700001,0.035575,0.235525001,0,0.028025,0.108174996,0,0,0.1511,0,0,0.006925,0,0.239600001,0
Citraconic Acid,0.336325,0.266175,0.303375,0.3246,0.01685,0,0.18375,0.001025,0,0.32605,0,0,0.024075,0.0291,0.02425,0.3181,0,0,0.0863,0,0.07645,0,0,0,0.019875,0,0.036025,0,0.019125,0.045850001,0,0,0,0.06085,0.023825002,0,0.413,0,0,0,0.0027,0,0,0.42795,0.561275,0.055849999,0,0.2508,0.24715,0,0.1783,0,0.02075,0,0.01305,0,0,0,0,0.026775,0.018949999,0.007575,0.002075,0,0.044975001,0.0774,0,0,0,0.034875,0,0.0256,0,0,0.015575,0.0086,0,0.01815,0,0.027125,0,0.01695,0,0.005225,0,0.0583,0.236675,0.42285,0,0,0,0,0,0,0.025950003,0,0.060825,0,0,0,0,0,0.242899999,0,0.320775,0,0.005775,0.364100001,0.017375,0.152175002,0,0.07825,0.243525003,0,0,0.215375,0,0,0.0038,0,0.058850002,0
Citric acid,0.359725,0.3623,0.399525,0.394925,0.308025,0.4109,0.314850001,0.423825,0.300825,0.424925,0.40755,0.375225,0.427725,0.450925,0.41645,0.397325,0.180725,0.386175,0.342425,0.239575,0.382975,0.289775,0.2453,0.241425,0.3856,0.029875,0.3321,0.317508333,0.19385,0.11595,0.121825,0.1452,0.218975,0.207575,0.048775,0.370925,0.364875,0,0.05695,0.0042,0.0116,0.396,0.013475,0.461325,0.500025,0.0733,0.14795,0.194275,0.21615,0,0.14365,0.331683333,0.027375,0.241675,0.157075,0.148424998,0.386,0.327125,0,0.03375,0.042424999,0.005075,0.0107,0.036749999,0.062125,0.423375,0.32625,0.339,0.33595,0.301950001,0.07775,0.098175,0.3139,0.039975,0.122325,0.1662,0.311925,0.1073,0.2646,0.08915,0,0.354483333,0.35525,0.334583333,0.37805,0.3474,0.28595,0.39785,0.242225,0.273475,0.303975,0.237325,0.369625,0.262675,0.096250005,0.285875,0.421675,0.284474997,0.32655,0.2699,0.28745,0.3513,0.371749996,0.315475,0.3448,0.3074,0.42775,0.530225003,0.372125,0.14030001,0.268050001,0.080675,0.35845,0.29295,0.004900001,0.346825,0.279124997,0.343283333,0.224525,0.150000001,0.37685,0.270275001
D-4-Hydroxyphenylglycine,0,0,0.016625,0,0.019125,0,0.008324998,0.1332,0,0.253225,0.134625,0.1795,0.0093,0.028375,0.003275,0,0,0,0.039275,0.09055,7.50E-05,0.008325,0.19025,0.198225,0.00875,0,0,0.0156,0,0.093775003,0,0.080975,0,0,0,0,0,0,0,0.0017,0.002925,0.130775,0,0.161625,0.0122,0.007649999,0,0.03085,0,0,0,0,0,0,0.011025,0,0.130975,0,0.004125,0.016675,0,0,0.0034,0,0.044399998,0,0.0339,0.0254,0.0216,0.027199995,0,0.01165,0,0,0.013125,0,0,0.15055,0,0.152525,0,0,0,0,0.099825,0.19635,0,0,0,0,0,0.132075,0.163075001,0.151175,0.02305,0,0.079425,0,0.016625,0,0,0,0,0,0,0,0,0.02465,0,0.146625004,0.012875002,0.05655,0.014525002,0,0,0,0,0,0,0,0.048075,0
D-Cellobiose,0,0,0.019775,0.009,0.0081,0,0.041600003,0,0,0.0341,0,0,0.029625,0.0292,0.02165,0,0.7461,0.6658,0.272425,0,0.49705,0.61775,0.692675,0.791625,0.44275,0.2439,0.58375,0.4312,0.341225,0.330649999,0.351225,0.2403,0.35355,0.137475,0.107200001,0,0.527525,0,0.000575,0.0642,0.06315,0.001475,0.020575,0,0.703775,0.002250005,0.08555,0,0.0527,0.17365,0,0,0.536025,0.558425,0.51245,0.406650002,0.02755,0.338174999,0.56475,0.603375,0.709900002,0.754675,0.8287,0,0.443974999,0.0211,0.647875,0.58485,0.586675,0.533275001,0.2844,0.2049,0.7084,0,0.102275,0.158075,0.0501,0.0562,0.354125,0.212925,0.309975,0.51845,0.002625,0.230625,0.221625,0.192975,0.36115,0.03445,0,0,0,0,0,0.589275,0.1068,0,0.0523,0,0.558125,0.56925,0,0.32785,0.686125002,0.061925,0,0,0.0112,0.092874997,0.04065,0.296575006,0.585999996,0.09985,0.648049996,0.542275,0.036375003,0.664475,0.657050002,0,0.630575,0.104924999,0.394475001,0.295249994
D-Galactose,0.008375,0,0.03035,0.08515,0,0,0.029575001,0.130525,0,0.006475,0,0,0.024,0.01035,0.003225,0.43075,0.167425,0.4545,0.34475,0.021675,0.2431,0.12085,0.461875,0.4232,0.43295,0.0652,0.378475,0.1632,0.052775,0.038200001,0.13255,0.216625,0.09875,0.171591667,0.018025,0.095775,0.61305,0,0.00725,0,0.023975,0.166475,0.03415,0,0.064225,0,0.0763,0,0.113675,0.0855,0,0.125975,0.278925,0.311675,0.244825,0.245825001,0.166375,0.3896,0.225775,0.375675,0.512874998,0.448875,0.521375,0.092,0.062575,0.27735,0.40195,0.344225,0.348825,0.459774999,0.220625,0.02235,0.53075,0,0.185575,0.206325,0.12165,0.221875,0.40265,0.306525,0.20575,0.361825,0.0586,0.114425,0.385325,0.2816,0.31365,0.5119,0,0.35955,0.423925,0.11705,0.005250001,0.36785,0.089350004,0,0.111975,0.362775001,0.3441,0.1329,0.2453,0.421475,0.390475001,0.064675,0.31415,0.43195,0.15825,0.103425,0.254275,0.202125001,0.314674999,0.2098,0.386900001,0.205275,0.028775,0.379275,0.336674999,0.0226,0.069,0.11615,0.431100001,0.175374996
Galacturonic acid,0.363575,0.3938,0.399275,0.3935,0.36895,0.3342,0.054924999,0.360425,0.327225,0.3483,0.3512,0.332225,0.3684,0.41785,0.36345,0.415,0,0,0.010158333,0.11965,0.013,0,0,0,0.13005,0.043275,0.247675,0,0.053425,0,0.1738,0.26615,0.18335,0.01565,0.012175,0.282641667,0.235725,0,0,0.006875,0.068,0.016175,0.019,0,0.104175,0,0,0,0,0.19345,0.0686,0.000925,0.02275,0.251325,0.152925,0.190975,0.27625,0,0.253025,0.220975,0.283200002,0.213975,0.22855,0,0.027175,0.0432,0.3434,0.32175,0.2956,0.30835,0.1555,0.1638,0.278325,0,0.02285,0.0023,0,0.041675,0.2594,0.0557,0.026125,0.026575,0.003575,0,0.139875,0.08495,0,0.39365,0,0.219575,0,0.168925,0.370625,0.29275,0.083099999,0.3508,0.072025,0.333949995,0.328575,0.21395,0.205875,0,0.330675001,0.331975,0.00725,0.314725,0.057875,0.072125001,0.118575,0.217299998,0.327374999,0.118375,0.390099999,0.14895,0,0,0,0,0.06425,0,0.414425001,0.127050005
