Carbon,Class
Glucose,Sugar
D_Galactose,Sugar
D_Mannose,Sugar
D_Ribose,Sugar
D_Xylose,Sugar
L_Arabinose,Sugar
Fructose,Sugar
Galacturonic.acid,Sugar
D_Cellobiose,Sugar
D_Trehalose.dihydrate,Sugar
Maltose,Sugar
Melibiose,Sugar
Sucrose,Sugar
Raffinose,Sugar
D_Mannitol,Sugar
Xylitol,Sugar
L_Inositol,Sugar
Acetic.acid,Organic.acid
Formic.acid,Organic.acid
Fumaric.acid,Organic.acid
Glutaric.acid,Organic.acid
Glycolic.acid,Organic.acid
Lactic.acid,Organic.acid
Malic.acid,Organic.acid
Maleic.acid,Organic.acid
Malonic.acid,Organic.acid
Mucic.Acid,Organic.acid
Oxalic.acid,Organic.acid
Pyruvic.acid,Organic.acid
Succinic.acid,Organic.acid
Tartaric.acid,Organic.acid
trans_Aconitic.acid,Organic.acid
Citraconic.Acid,Organic.acid
Citric.acid,Organic.acid
2_Oxoglutaric,Organic.acid
beta_Alanine,Amino.acid
L_Alanine,Amino.acid
L_Arginine,Amino.acid
L_Asparagine,Amino.acid
L_Aspartic.Acid,Amino.acid
Citrulline,Amino.acid
L_Glutamine,Amino.acid
L_Glycine,Amino.acid
L_Histidine,Amino.acid
L_Homoserine,Amino.acid
Isoleucine,Amino.acid
L_Leucine,Amino.acid
L_Lysine,Amino.acid
L_Methionine,Amino.acid
L_Ornithine,Amino.acid
L_Phenyalanine,Amino.acid
L_Proline,Amino.acid
L_Pyroglutamic.acid,Amino.acid
L_Serine,Amino.acid
L_Threonine,Amino.acid
L_Tryptophan,Amino.acid
L_Valine,Amino.acid
gamma.aminobutyric.acid,Amino.acid
Ethanolamine,Amino.acid
Ascorbic.acid,Sugar
Shikimic.acid,Organic.acid
Inosine,Others
D_4_Hydroxyphenylglycine,Amino.acid
L_Rhamnose.monohydrate,Sugar
H2O,Others
