nematode,spe.ID,mean_preference,mean_grazing,mean_size,mean_size_OP50,mean_size_fold_change
C.elegans,ACH1,0.4625,0.331666667,3435236.042,3522554.673,0.975211561
C.elegans,ACH2,0.38375,0.511666667,1900306.014,3522554.673,0.539468139
C.elegans,ACI1,0.58625,0.53,3117083.883,3522554.673,0.884892975
C.elegans,aci1,0.3225,0.573333333,3743234.505,3522554.673,1.062647667
C.elegans,ACI10,0.5675,0.288333333,2031598.187,3522554.673,0.576740001
C.elegans,ACI11,0.5225,0.465,2388062.469,3522554.673,0.67793482
C.elegans,ACI2,0.62625,0.35,3550826.64,3522554.673,1.008025984
C.elegans,aci2,0.37875,0.393333333,3009080.521,3522554.673,0.854232454
C.elegans,ACI3,0.44,0.571666667,2601470.423,3522554.673,0.738518111
C.elegans,ACI4,0.4775,0.518333333,1568326.174,3522554.673,0.445224083
C.elegans,ACI5,0.585,0.388333333,3292088.098,3522554.673,0.934574025
C.elegans,ACI6,0.6525,0.273333333,2771814.646,3522554.673,0.78687626
C.elegans,ACI7,0.67,0.311666667,4797484.734,3522554.673,1.361933364
C.elegans,ACI8,0.63375,0.346666667,3474089.696,3522554.673,0.986241526
C.elegans,ACI9,0.705,0.383333333,416034.379,3522554.673,0.118105869
C.elegans,ADV1,0.33625,0.24,2107929.109,3522554.673,0.598409196
C.elegans,ART1,0.29625,-0.03,255889.603,3522554.673,0.072643188
C.elegans,ART2,0.37375,0.061666667,190872.9285,3522554.673,0.054185938
C.elegans,ART3,0.365,0.368333333,1210730.698,3522554.673,0.343708135
C.elegans,ART4,0.7375,0.29,3843038.329,3522554.673,1.090980463
C.elegans,ART5,0.31125,0.095,430851.7842,3522554.673,0.122312306
C.elegans,ART6,0.4025,0.316666667,215917.0145,3522554.673,0.061295575
C.elegans,ART7,0.36125,0.275,441006.593,3522554.673,0.125195102
C.elegans,ART8,0.3825,0.08,227464.6,3522554.673,0.06457376
C.elegans,ART9,0.4125,0.16,246504.5795,3522554.673,0.069978922
C.elegans,BAC1,0.51125,0.273333333,2140983.513,3522554.673,0.607792841
C.elegans,BAC2,0.63125,0.205,204252.0155,3522554.673,0.057984058
C.elegans,BAC3,0.48875,0.363333333,2300197.505,3522554.673,0.652991286
C.elegans,BAC4,0.55875,0.121666667,31958.2555,3522554.673,0.009072465
C.elegans,BAC5,0.34125,-0.135,2621929.627,3522554.673,0.74432617
C.elegans,BAC6,0.60125,0.081666667,2893472.789,3522554.673,0.821413167
C.elegans,BAC7,0.42125,0.248333333,2451151.862,3522554.673,0.695844945
C.elegans,BAC8,0.28125,0.188333333,1907183.309,3522554.673,0.541420499
C.elegans,BOR1,0.33375,0.345,3299078.511,3522554.673,0.936558497
C.elegans,BRE1,0.115,0.053333333,181455.9725,3522554.673,0.051512606
C.elegans,BRE2,0.66125,0.036666667,231079.4275,3522554.673,0.065599955
C.elegans,BUR1,0.37,0.045,137342.381,3522554.673,0.038989425
C.elegans,CHR1,0.49625,0.121666667,485812.3135,3522554.673,0.137914769
C.elegans,CHR2,0.75125,0.09,525389.349,3522554.673,0.149150091
C.elegans,CHR3,0.815,0.15,733378.983,3522554.673,0.208195202
C.elegans,CHR4,0.685,-0.058333333,922424.5535,3522554.673,0.261862381
C.elegans,CHR5,0.46875,0.056666667,398812.477,3522554.673,0.113216831
C.elegans,CHR6,0.48625,0.065,381435.0815,3522554.673,0.108283651
C.elegans,CUP1,0.43,0.321666667,2686023.024,3522554.673,0.762521316
C.elegans,CUP2,0.42375,0.121666667,735660.4415,3522554.673,0.208842874
C.elegans,CUP3,0.40375,0.473333333,2565727.811,3522554.673,0.728371324
C.elegans,CUR1,0.50125,0.103333333,175887.538,3522554.673,0.049931812
C.elegans,DEL1,0.4675,0.185,2805278.651,3522554.673,0.796376185
C.elegans,DEL2,0.2225,0.156666667,2271522.716,3522554.673,0.644850947
C.elegans,DYE1,0.34875,0.173333333,735925.196,3522554.673,0.208918034
C.elegans,EMP1,0.6225,0.19,434953.394,3522554.673,0.123476691
C.elegans,EMP2,0.51375,0.15,693382.1305,3522554.673,0.196840701
C.elegans,ENS1,0.62375,0.305,2723516.846,3522554.673,0.773165245
C.elegans,ENT1,0.645,0.296666667,1975254.979,3522554.673,0.560745017
C.elegans,ENT2,0.59875,0.408333333,2038553.756,3522554.673,0.578714582
