nematode,phylum,class,order,family,genera,species,spe.ID,spe.control,replicate,spe.ID.num,spe.control.number,spe.ID.preference,spe.control.preferece,fold.change
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter marplatensis ,ACH1,OP50,1,45,48,0.48,0.52,-0.076923077
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter marplatensis ,ACH1,OP50,2,27,35,0.44,0.56,-0.214285714
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter marplatensis ,ACH1,OP50,3,33,24,0.58,0.42,0.380952381
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter marplatensis ,ACH1,OP50,4,30,43,0.41,0.59,-0.305084746
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter marplatensis ,ACH1,OP50,5,59,74,0.44,0.56,-0.214285714
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter marplatensis ,ACH1,OP50,6,24,45,0.35,0.65,-0.461538462
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter marplatensis ,ACH1,OP50,7,26,30,0.46,0.54,-0.148148148
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter marplatensis ,ACH1,OP50,8,76,64,0.54,0.46,0.173913043
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter mucicolens ,ACH2,OP50,1,11,21,0.34,0.66,-0.484848485
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter mucicolens ,ACH2,OP50,2,23,32,0.42,0.58,-0.275862069
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter mucicolens ,ACH2,OP50,3,46,69,0.4,0.6,-0.333333333
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter mucicolens ,ACH2,OP50,4,40,72,0.36,0.64,-0.4375
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter mucicolens ,ACH2,OP50,5,54,67,0.45,0.55,-0.181818182
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter mucicolens ,ACH2,OP50,6,30,53,0.36,0.64,-0.4375
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter mucicolens ,ACH2,OP50,7,34,55,0.38,0.62,-0.387096774
C.elegans,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter mucicolens ,ACH2,OP50,8,46,82,0.36,0.64,-0.4375
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii ,ACI1,OP50,1,15,17,0.47,0.53,-0.113207547
C.elegans,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii ,ACI1,OP50,2,25,21,0.54,0.46,0.173913043
