VOC_name,SMILES
.alpha.-Amino-.gamma.-butyrolactone,C1COC(=O)C1N.Br
"1,1'-Bicyclohexyl, 4-methyl-4'-pentyl-",CCCCCC1CCC(CC1)C2CCC(CC2)C
"1,1-Diethoxycyclohexane",CCOC1(CCCCC1)OCC
"1,2,3-Benzotriazin-4(3H)-one, 3-[(3-fluorophenyl)methyl]-",C1=CC=C2C(=C1)C(=O)N(N=N2)CC3=CC(=CC=C3)F
"1,2,4,5-Tetrazine, 3,6-bis(1,1-dimethylethyl)-",CC(C)(C)C1=NN=C(N=N1)C(C)(C)C
"1,2,5-Trimethylpyrrole",CC1=CC=C(N1C)C
"1,2-Cyclopentanedicarboxylic acid, 4-ethylidene-, dimethyl ester",CC=C1CC(C(C1)C(=O)OC)C(=O)OC
"1,2-Dimethoxy-ethene",CO/C=C/OC
"1,2-Ethanediamine, N'-ethyl-N,N-dimethyl-",CCN(CCN(C)C)C1=CC=CC(=C1)C
"1,2-Ethanediol, monoformate",C(COC=O)O
"1,2-Propanediol, 3-methoxy-",COCC(CO)O
"1,3,2-Oxathiaborole, 2-ethyl-",B1(OCCS1)CC
"1,3-Cyclohexanediamine",C1CC(CC(C1)N)N
"1,3-Diazine",C1=CN=CN=C1
"1,3-Dioxane, 2-methyl-",CC1OCCCO1
"1,3-Dioxol-2-one",C1=COC(=O)O1
"1,3-Dioxolane, 2-hexyl-",CCCCCCC1OCCO1
"1,3-Propanediamine",C(CN)CN
"1,4 Benzodioxan-6-amine",C1COC2=C(O1)C=CC(=C2)N
"1,4-Oxathiin, 2,3-dihydro-6-methyl-",CC1=CSCCO1
1-(2-Methylallyl)azetidine,CC(=C)CN1CCC1
1-(2-Propen-1-yloxy)dodecane,C(CCCCCCCCCCOCC=C)C
"1-(3-Hydroxy-3-methylbutyl)-3,6-diazahomoadamantan-9-one",CC(C)(CCC12CN3CCN(C1)CC(C3)C2=O)O
"1-Butanol, 2-methyl-, (S)-",CC[C@H](C)CO
"1-Heptanol, 6-methyl-",CC(C)CCCCCO
1-Methyl-2-phenylcyclopropane,CC1CC1C2=CC=CC=C2
1-Nitro-2-propanone,CC(=O)C[N+](=O)[O-]
"1-Propanol, 2-chloro-2-methyl-",CC(C)(CO)Cl
"1-Propene, 2-methyl-3-(1-methylethoxy)-",CC(C)OCC(=C)C
"1-Propene, 3,3-dichloro-",C=CC(Cl)Cl
"1H-Indazol-5-amine, 3-methyl-",CC1=C2C=C(C=CC2=NN1)N
"1H-Indene, octahydro-2,2,4,4,7,7-hexamethyl-, trans-",CC1(CCC(C2C1CC(C2)(C)C)(C)C)C
"1H-Indole, 5-fluoro-",C1=CC2=C(C=CN2)C=C1F
"1H-Pyrazole, 4,5-dihydro-4,5-dimethyl-",CC1C=NNC1C
1H-Tetrazol-5-amine,C1(=NNN=N1)N
"2(5H)-Furanone, 5-(2-hydroxyethylidene)-",C\1=CC(=O)O/C1=C/CO
"2,2'-(2,2'-Oxybis(ethane-2,1-diyl)bis(oxy))bis(ethane-2,1-diyl) bis(3-methylbutanoate)",CC(C)CC(=O)OCCOCCOCCOCCOC(=O)CC(C)C
"2,2'-Oxybis(ethane-2,1-diyl) bis(2-methylbutanoate)",CCC(C)C(=O)OCCOCCOCCOCCOC(=O)C(C)CC
"2,2-Diethoxyacetophenone",CCOC(C(=O)C1=CC=CC=C1)OCC
"2,3-Butanediol, [R-(R*,R*)]-",C[C@H]([C@@H](C)O)O
"2,3-Dimethyldodecane",CCCCCCCCCC(C)C(C)C
"2,4,6-Trimethyl-1,5-diazabicyclo[3.1.0]hexane",CC1CC(N2N1C2C)C
"2,5-Dimethylpyrimidine",CC1=CN=C(N=C1)C
"2,6-Bis(2-methylpropyl)pyrazine",CC(C)CC1=CN=CC(=N1)CC(C)C
"2,6-Dimethyl-6-nitro-2-hepten-4-one",CC(=CC(=O)CC(C)(C)[N+](=O)[O-])C
"2,6-Octadiene, 3,7-dimethyl-1-(2-propenyloxy)-",CC(=CCC/C(=C/COCC=C)/C)C
"2,9-Diazabicyclo[4.4.0]decane, cis-",C1C[C@@H]2CCNC[C@@H]2NC1
2-(1-Cyclopentenyl)furan,C1CC=C(C1)C2=CC=CO2
2-(1H-Pyrazol-3-yl)acetaldehyde,C1=C(NN=C1)CC=O
"2-(5-Furan-2-yl-[1,3,4]oxadiazol-2-ylsulfanyl)-N,N-dimethyl-acetamide",CN(C)C(=O)CSC1=NN=C(O1)C2=CC=CO2
2-(Trimethylacetyl)thiophene,CC(C)(C)C(=O)C1=CC=CS1
2-Amino-4-methyl-oxazole,CC1=COC(=N1)N
"2-Butanamine, 3,3-dimethyl-",CC(C(C)(C)C)N
2-Butene ozonide,CC1OC(OO1)C
"2-Butenoic acid, 2-methyl-, 1-methylethyl ester, (Z)-",C/C=C(/C)\C(=O)OC(C)C
"2-Butenoic acid, 3-methyl-, 2-methylpropyl ester",CC(C)COC(=O)C=C(C)C
2-Chloro 5-chloromethylthiophene,C1=C(SC(=C1)Cl)CCl
2-Chlorobenzimidazole,C1=CC=C2C(=C1)NC(=N2)Cl
"2-Decene, 7-methyl-, (Z)-",CCCC(C)CCC/C=C\C
"2-Ethyl-1-hexanol, methyl ether",CCCCC(CC)COC
"2-Ethyl-1-hexanol, trifluoroacetate",CCCCC(CC)COC(=O)C(F)(F)F
"2-Heptanol, 5-ethyl-",CCC(CC)CCC(C)O
"2-Hexanone, 3-methyl-4-methylene-",CCC(=C)C(C)C(=O)C
2-Hexenoic acid,CCCC=CC(=O)O
