VOC_id	CLID_0.7	CLID_0.8	CLID_0.9
VOC_002	cut70_002	cut80_002	cut90_002
VOC_022	cut70_002	cut80_002	cut90_022
VOC_023	cut70_002	cut80_002	cut90_023
VOC_037	cut70_002	cut80_002	cut90_037
VOC_038	cut70_002	cut80_002	cut90_038
VOC_041	cut70_002	cut80_002	cut90_132
VOC_089	cut70_002	cut80_002	cut90_089
VOC_102	cut70_002	cut80_002	cut90_102
VOC_111	cut70_002	cut80_002	cut90_102
VOC_116	cut70_002	cut80_002	cut90_116
VOC_132	cut70_002	cut80_002	cut90_132
VOC_140	cut70_002	cut80_002	cut90_102
VOC_168	cut70_002	cut80_002	cut90_168
VOC_169	cut70_002	cut80_002	cut90_102
VOC_170	cut70_002	cut80_002	cut90_102
VOC_176	cut70_002	cut80_002	cut90_176
VOC_185	cut70_002	cut80_002	cut90_022
VOC_186	cut70_002	cut80_002	cut90_132
VOC_210	cut70_002	cut80_002	cut90_210
VOC_211	cut70_002	cut80_002	cut90_116
VOC_222	cut70_002	cut80_002	cut90_102
VOC_233	cut70_002	cut80_002	cut90_233
VOC_254	cut70_002	cut80_002	cut90_022
VOC_261	cut70_002	cut80_002	cut90_261
VOC_265	cut70_002	cut80_002	cut90_132
VOC_267	cut70_002	cut80_002	cut90_022
VOC_268	cut70_002	cut80_002	cut90_022
VOC_166	cut70_002	cut80_166	cut90_166
VOC_180	cut70_002	cut80_166	cut90_180
VOC_183	cut70_002	cut80_166	cut90_180
VOC_200	cut70_002	cut80_166	cut90_180
VOC_025	cut70_002	cut80_025	cut90_025
VOC_092	cut70_002	cut80_025	cut90_025
VOC_198	cut70_002	cut80_025	cut90_025
VOC_060	cut70_002	cut80_060	cut90_060
VOC_061	cut70_002	cut80_060	cut90_060
VOC_196	cut70_002	cut80_060	cut90_060
VOC_080	cut70_002	cut80_080	cut90_080
VOC_081	cut70_002	cut80_080	cut90_080
VOC_224	cut70_002	cut80_080	cut90_224
VOC_059	cut70_002	cut80_115	cut90_059
VOC_074	cut70_002	cut80_115	cut90_059
VOC_115	cut70_002	cut80_115	cut90_115
VOC_003	cut70_002	cut80_003	cut90_003
VOC_220	cut70_002	cut80_003	cut90_220
VOC_017	cut70_002	cut80_017	cut90_017
VOC_264	cut70_002	cut80_017	cut90_264
VOC_171	cut70_002	cut80_173	cut90_171
VOC_173	cut70_002	cut80_173	cut90_173
VOC_093	cut70_002	cut80_181	cut90_093
VOC_181	cut70_002	cut80_181	cut90_181
VOC_182	cut70_002	cut80_221	cut90_182
VOC_221	cut70_002	cut80_221	cut90_221
VOC_187	cut70_002	cut80_263	cut90_187
VOC_263	cut70_002	cut80_263	cut90_263
VOC_047	cut70_002	cut80_047	cut90_047
VOC_117	cut70_002	cut80_117	cut90_117
VOC_172	cut70_002	cut80_172	cut90_172
VOC_174	cut70_002	cut80_174	cut90_174
VOC_178	cut70_002	cut80_178	cut90_178
VOC_266	cut70_002	cut80_266	cut90_266
VOC_030	cut70_030	cut80_030	cut90_030
VOC_083	cut70_030	cut80_030	cut90_030
VOC_106	cut70_030	cut80_030	cut90_030
VOC_119	cut70_030	cut80_030	cut90_030
VOC_123	cut70_030	cut80_030	cut90_030
VOC_124	cut70_030	cut80_030	cut90_030
VOC_125	cut70_030	cut80_030	cut90_030
VOC_126	cut70_030	cut80_030	cut90_030
VOC_127	cut70_030	cut80_030	cut90_030
VOC_128	cut70_030	cut80_030	cut90_030
VOC_133	cut70_030	cut80_030	cut90_030
VOC_152	cut70_030	cut80_030	cut90_030
VOC_159	cut70_030	cut80_030	cut90_030
VOC_161	cut70_030	cut80_030	cut90_030
VOC_191	cut70_030	cut80_030	cut90_030
VOC_206	cut70_030	cut80_030	cut90_030
VOC_213	cut70_030	cut80_030	cut90_030
VOC_028	cut70_028	cut80_028	cut90_028
VOC_029	cut70_028	cut80_028	cut90_028
VOC_053	cut70_028	cut80_028	cut90_028
VOC_066	cut70_028	cut80_028	cut90_028
VOC_075	cut70_028	cut80_028	cut90_028
VOC_099	cut70_028	cut80_028	cut90_028
VOC_146	cut70_028	cut80_028	cut90_028
